Text,Class
Carel Victor Gerritsen .,0
Wing Coaster is engineering firm Bolliger & Mabillard’s designation for its winged roller coaster designs. Winged roller coasters are a type of steel roller coaster where pairs of riders sit on either side of a roller coaster track in which nothing is above or below the riders. B&M began development on the first Wing Coaster between 2007 and 2008 leading to the opening of Raptor at Gardaland on 1 April 2011. There were sixteen B&M-designed Wing Coasters either under construction or operating worldwide as of December 2020 .,0
"William W. Powers State Recreation Area is an Illinois state park administered by the Illinois Department of Natural Resources on 580 acres of shoreline to fishermen. The park hosts about half a million visitors annually. The park contains numerous species, and is one of the most important biological sites in the Chicago region.",0
"Mongolia participated in the 1994 Winter Olympics, held in Lillehammer, Norway. The country fielded a modest delegation of six athletes, who competed in three disciplines: alpine skiing, cross-country skiing, and biathlon. Despite their limited presence, the Mongolian athletes showcased their determination and commitment on the international stage.",1
"The 5th Boat Race took place on the River Thames on 14 April 1841. It was the fourth of the University Boat Races, a side-by-side rowing competition between the University of Oxford and the University of Cambridge, to be contested in London. The race was held between Westminster Bridge and Putney Bridge and was won by Cambridge, whose crew featured two pairs of brothers rowing, who defeated Oxford by a distance of 22 lengths in a time of 32 minutes and 30 seconds. The victory took the overall record in the event to 4–1 in Cambridge's favour.",0
"SAS, which stands for Statistical Analysis System, is a software suite used for advanced analytics, business intelligence, and data management. Developed by SAS Institute, it provides a wide range of tools and features for data analysis, predictive modeling, and data visualization. SAS is known for its ability to handle large and complex datasets, making it popular among organizations in various industries such as banking, healthcare, and retail. The software offers a user-friendly interface, extensive documentation, and strong customer support, empowering businesses to make data-driven decisions and gain insights from their data.",1
"Willie Mount, also known as Willie P. Mount, was an American politician from Louisiana. Born on June 27, 1943, she served as the Mayor-President of the city-parish of Baton Rouge, Louisiana from 1997 to 2004. Mount was the first woman and first African American to hold this position. During her tenure, she focused on improving public safety, economic development, and infrastructure. Mount also worked on issues such as reducing crime rates and addressing the educational needs of the community. Despite facing criticism and challenges, Willie Mount made significant contributions to her community and broke barriers in Louisiana politics.",1
"The Atlantic hurricane reanalysis project of the National Oceanic and Atmospheric Administration seeks to correct and add new information about past North Atlantic hurricanes. It was started around 2000 to update HURDAT, the official hurricane database for the Atlantic Basin, which has become outdated since its creation due to various systematic errors introduced into the database over time. This effort has involved reanalyses of ship observations from the International Comprehensive Ocean-Atmosphere Data Set as well as reanalyses done by other researchers over the years. It has been ongoing as of 2016, and should last another four years.",0
"Swede Hanson, also known as Carl F. Engstrom, was a professional wrestler who competed primarily in the late 1960s and 1970s. Hailing from Minnesota, he developed a reputation for his impressive size and strength, standing at 6 feet 4 inches tall and weighing over 330 pounds. Hanson had several successful stints in different wrestling territories, captivating audiences with his intense style and brute force. He became a fan favorite due to his charismatic personality and distinctive look, often wearing a Viking helmet during matches. Swede Hanson was regarded as an imposing force in the world of professional wrestling during his career.",1
"TouchWave, Inc. , was a privately held Palo Alto, California IP-telephony network switch provider founded in 1997. TouchWave developed a product line called WebSwitch that was designed to replace traditional private telephone exchange systems in small-to-medium-sized companies. WebSwitch was part of a phone system that incorporates communication features provided by the Internet. The rapid success of TouchWave was memorialized with awards and an acquisition by Ericsson Communications for $46M two years after TouchWave was founded. Ericsson continued the TouchWave product line under the name WebCom, but its efforts have been viewed as less than successful.",0
"West Liberty Foods is a leading provider of high-quality food products in the United States. Founded in 1996, the company is headquartered in West Liberty, Iowa, and operates several production facilities across the country. They specialize in the production of fully-cooked and sliced meats, including turkey, ham, chicken, and beef. West Liberty Foods focuses on delivering exceptional products with a commitment to food safety and quality. With a diverse portfolio of customers, including foodservice, retail, and private label brands, West Liberty Foods continues to innovate and expand its offerings while upholding their mission of ""Delivering Good Food to Customers and Consumers Every Time.""",1
"The 85th Boat Race took place on 1 April 1933. Held annually, the Boat Race is a side-by-side rowing race between crews from the Universities of Oxford and Cambridge along the River Thames. Umpired by the former rower Herbert Aylward Game, Cambridge won by 2+1⁄4 lengths in a time of 20 minutes 57 seconds. The record tenth consecutive victory took the overall record in the event to 44–40 in Cambridge's favour.",0
"The 53rd Boat Race took place on 28 March 1896. The Boat Race is an annual side-by-side rowing race between crews from the Universities of Oxford and Cambridge along the River Thames. In a race umpired by former rower Frank Willan, Oxford won by two-fifths of a length in a time of 20 minutes 1 second, taking the overall record in the event to 30–22 in their favour. It was their seventh consecutive victory and the narrowest winning margin since 1877.",0
"Pennsylvania Route 546 . The highway heads northward, through mountainous regions before crossing the state line and into New York.PA 546 was designated in the 1928 numbering of state highways in the commonwealth. The route was under construction and unpaved for two years afterward, and by 1930, the route was complete and has remained virtually intact since.",0
"Thomas Hawkes Nash III is an American lichenologist. His research is about the biology and ecology of lichens, and the effects of air pollution on plants and lichens. He is known as an authority on the family Parmeliaceae. During his long career at the Arizona State University, he helped develop the lichen herbarium into a world-class collection with over 100,000 specimens representing more than 5000 species. In 2010, the year of his retirement, he was awarded the Acharius Medal for lifetime achievements in lichenology, and the following year had a Festschrift published in his honor.",0
"Sierra Leone sent a delegation to compete at the 2000 Summer Olympics in Sydney, Australia from 15 September to 1 October 2000. This was the African nation's sixth time appearing at a Summer Olympic Games. The delegation consisted of three competitors, two track and field athletes; Alpha B. Kamara and Ekundayo Williams; and weightlifter Joseph Bellon. Neither of the track athletes advanced beyond the first round of their events, while Bellon finished 16th in the men's under 77 kg event.",0
"The 25th Boat Race between crews from the University of Oxford and the University of Cambridge took place on the River Thames on 4 April 1868. Oxford won by six lengths in a time of 20 minutes and 56 seconds, taking the overall record to 15–10 in their favour. Oxford cox Charles Tottenham became the first person in the history of the event to win five Boat Races, and Cambridge saw their first non-British rower compete.",0
"Senegal, a country known for its tropical climate, made its debut appearance at the 2010 Winter Olympics in Vancouver. Since the nation lacks snowy conditions, they did not participate in any snow or ice events. Instead, Senegal's only athlete, Leyti Seck, competed in the Men's Giant Slalom event in alpine skiing. Although he finished well behind the leaders, Seck's participation marked a significant milestone for the country in their first foray into the Winter Games.",1
"M-209 is a state highway in Michigan, USA, located on Mackinac Island. The road is approximately 8 miles long and primarily serves as a scenic route for visitors exploring the island. With breathtaking views of the Straits of Mackinac and the island's natural beauty, M-209 provides an enjoyable drive for tourists. The road is known for its narrow lanes, rustic surroundings, and lack of motor vehicles, as bicycles and horse-drawn carriages are the primary modes of transportation on Mackinac Island.",1
"Joseph Hewahewa Kaimihakulani Heleluhe was a member of the Hawaiian nobility who served as a retainer and private secretary of Queen Liliʻuokalani, the last monarch of the Kingdom of Hawaii, and accompanied her on her trips to the United States and Washington, D.C., from 1896 to 1900 to prevent the American annexation of Hawaii.",0
"Chikaraishi are heavy rocks used at least since the 8th century CE in Japan to develop or demonstrate physical strength. Commonly found within Shinto shrines, they were used for competition, divination, physical fitness and entertainment; some famous examples have also become tourist attractions, and many have been recognised as Important Cultural Assets by the Japanese Government.Competitive stone-lifting is still continued in modern times, and a number of competitive forms of stone-lifting exist, employing different physical techniques.",0
"Ainsley Hayes is a fictional character played by Emily Procter on The West Wing, an American serial political drama. Primarily appearing in the second and third seasons for a total of twelve episodes, Ainsley served as the Associate White House Counsel under the show's president, Josiah Bartlet. Reception for Ainsley has ranged from mixed to positive; she is characterized as smart and flirtatious, but also vulnerable to sexism from other characters and the show's writing.",0
"The Getty Foundation, based in Los Angeles, California at the Getty Center, awards grants for ""the understanding and preservation of the visual arts"". In the past, it funded the Getty Leadership Institute for ""current and future museum leaders"", which is now at Claremont Graduate University. Its budget for 2006–07 was $27.8 million. It is part of the J. Paul Getty Trust.",0
"A statue of William Francis Bartlett stands inside the Massachusetts State House in Boston, Massachusetts, United States. The bronze statue was designed by sculptor Daniel Chester French and honors Bartlett, who had served as a general in the Union Army during the American Civil War. The statue was dedicated in 1904.",0
"The 1957 Mongolia earthquake, also known as the Gobi-Altay earthquake, struck the western region of Mongolia on July 5, 1957. It had a magnitude of 8.1 and caused widespread destruction. The earthquake resulted in the collapse of buildings, landslides, and the formation of a new lake. Casualty figures are uncertain, but it is estimated that hundreds of people died and thousands were injured. The event highlighted the need for improved earthquake preparedness and infrastructure in the region.",1
"Afghanistan sent a delegation to compete at the 2016 Summer Paralympics in Rio de Janeiro, Brazil, from 7–18 September 2016. This was the nation's fifth time taking part in a Summer Paralympic Games. The Afghan delegation consisted of a single athlete, Mohammad Durani, who competed in the javelin throw. Originally he finished 16th in his event, but he was retroactively disqualified for a doping violation.",0
"Robert of Bath was a significant figure during the 12th century. He was an accomplished scholar, theologian, and teacher, renowned for his ability to integrate classical learning with Christian doctrine. Robert's contributions to the study of theology and philosophy were highly regarded, and he had a substantial impact on religious thought and education. His work and teachings were widely influential, particularly in areas related to the interpretation of scripture and the synthesis of knowledge from various disciplines. Ultimately, Robert of Bath played a critical role in shaping intellectual and religious discourse during his time.",1
"Figwit, short for ""Frodo is Great...Who is That?"" is a character that gained unexpected fame in the Lord of the Rings film trilogy. Portrayed by actor Bret McKenzie, Figwit was initially a minor elf background character, but his brief appearances garnered a significant following online. Fans found his striking looks and enigmatic presence intriguing, leading to various theories and memes. While his role in the films remained limited, Figwit's popularity became a symbol of the passionate Lord of the Rings fan community.",1
"Taksony was the Grand Prince of the Hungarians after their catastrophic defeat in the 955 Battle of Lechfeld. In his youth he had participated in plundering raids in Western Europe, but during his reign the Hungarians only targeted the Byzantine Empire. The Gesta Hungarorum recounts that significant Muslim and Pecheneg groups settled in Hungary under Taksony.",0
"The 1947 Boat Race took place on March 29th on the River Thames in London, England. It was the 94th annual race between the Oxford University Boat Club and the Cambridge University Boat Club. After a challenging competition, Oxford emerged victorious, defeating Cambridge by two and a half lengths. This win marked Oxford's 44th victory in the series. The race attracted significant attention and served as a symbol of sporting spirit and resilience amidst the post-war period.",1
"""A Elbereth Gilthoniel"" is a poem by J.R.R. Tolkien, featured in his highly regarded fantasy novel, ""The Lord of the Rings."" It serves as a hymn to the Elven queen Varda, who is known as Elbereth Gilthoniel. The poem praises her beauty, power, and wisdom, while also invoking her protection against the dark forces of Morgoth. Written in the Sindarin language, it showcases Tolkien's profound grasp of linguistics and his ability to create compelling mythologies within his fictional world. ""A Elbereth Gilthoniel"" exemplifies the intricate lore and enchanting atmosphere that define Tolkien's work.",1
"Emily Penrose is a highly accomplished individual known for her expertise in the field of finance. With over 15 years of experience in investment banking, she has successfully led numerous capital raising and M&A transactions for various prestigious firms. Penrose's exceptional strategic thinking and strong leadership skills have garnered her recognition throughout the industry. She is revered for her ability to analyze complex financial data and provide valuable insights to clients. Additionally, Penrose has a proven track record of improving organizational performance and delivering exceptional results. She is respected as a leading figure in the finance sector.",1
"The Boat Race in 1954 took place between the rowing teams of the University of Oxford and the University of Cambridge. The race, held on the River Thames in London, was won by Oxford by a margin of seven lengths. This victory marked Oxford's first win in five years, bringing an end to Cambridge's winning streak. The event showcased the prowess and determination of both teams in what is considered one of the oldest and most prestigious rowing competitions in the world.",1
"Coxton Tower is a late sixteenth-century tower house in Moray, Scotland. Heavily fortified, it was built around 1590, with substantive repairs in 1635 and 1645, but its design is reminiscent of much older buildings. It has not been occupied since around 1867 except to house Canadian soldiers during the Second World War, but was renovated in 2001 to help protect the fabric of the structure, which is designated a Category A listed building.",0
"Bound for Glory is a professional wrestling pay-per-view event produced annually in October by the American Impact Wrestling promotion. The event was created in 2005 to serve as the company's flagship PPV event, similar to WWE's WrestleMania, in which wrestlers competed in various professional wrestling match types in what was the culmination of many feuds and storylines that occurred during the calendar year. As of April 2023, eighteen events have occurred under the chronology.",0
"The Sultanate of Dahlak was a prosperous medieval kingdom located in the Dahlak Archipelago, off the coast of present-day Eritrea. It emerged as a powerful maritime state during the 13th century, controlling extensive trade networks and commanding a navy that challenged Portuguese naval dominance in the Red Sea. The Sultanate flourished due to its strategic location on key trading routes between the Arabian Peninsula, Africa, and India. However, with the arrival of the Portuguese in the 16th century, the Sultanate's influence waned, and it eventually became a vassal of the Adal Sultanate. Today, the Dahlak Archipelago remains an important ecological and cultural site.",1
"Bela Talbot is a fictional character from the television show ""Supernatural."" Introduced in the third season, Bela is a thief and con artist who possesses extensive knowledge of the supernatural world. She often uses this knowledge to manipulate and exploit other hunters. Known for her charming and ruthless nature, Bela is primarily driven by self-interest and frequently clashes with the Winchester brothers, Sam and Dean. While her motivations are initially mysterious, it is eventually revealed that Bela made a deal with a demon that has haunted her throughout her life.",1
Mary Wayte is an accomplished American swimmer who won three Olympic medals in 1984 and set numerous world records in freestyle swimming events. She is known for her skill and dedication in the sport.,1
"Blown for Good: Behind the Iron Curtain of Scientology is a memoir written by Marc Headley, a former Scientologist and Sea Org member, about his life and experiences in the Church of Scientology. It was self-published in the United States on November 5, 2009.",0
"Bermuda sent a delegation to compete at the 2008 Summer Olympics in Beijing, China. The games marked Bermuda's twenty-first Olympic appearance since its debut in 1936. The 2008 delegation included six athletes: Tyrone Smith and Arantxa King in long jump, Jillian Terceira in individual jumping on horseback, Kiera Aitken and Roy-Allan Burch in swimming , and Flora Duffy in triathlon. Bermuda did not win any medals in the Beijing games.",0
"Samoa sent a delegation of two athletes to compete in the 2016 Summer Paralympics held in Rio de Janeiro, Brazil. Oloa Sili represented the country in para-javelin and was classified as an F36 athlete, while Letava Whippy competed in the F57 discus throw. Despite their efforts, neither athlete was able to secure a medal. Nevertheless, their participation served as a representation and source of pride for Samoa in the global sporting event.",1
"Lebanon's participation at the 2010 Winter Olympics involved two athletes, Chirine Njeim and Jackie Chamoun, marking a significant milestone for the country. Chirine Njeim, a cross-country skier, competed in the women's 10km event, finishing 78th out of 87 competitors. Jackie Chamoun, an alpine skier, represented Lebanon in the women's slalom event, but was unable to finish the race due to a mistake during her run. Nonetheless, the presence of Lebanese athletes at the Winter Olympics demonstrated the country's growing interest and investment in winter sports.",1
"The Ypsilanti Heritage Festival is an annual event that celebrates the rich history and culture of Ypsilanti, Michigan. Held over three days, the festival offers a variety of activities and attractions for people of all ages. Visitors can enjoy live music from local artists, sample delicious food from a wide range of vendors, and explore the diverse arts and crafts on display. The festival also features a parade showcasing community organizations and businesses, as well as a car show and children's activities. Overall, the Ypsilanti Heritage Festival provides a fun and engaging experience that connects locals and visitors to the vibrant heritage of the city.",1
"Joseph Heleluhe was a Hawaiian artist known for his unique style and contributions to the revival of traditional Hawaiian art. He specialized in painting and sculpture, often incorporating elements of Hawaiian mythology and culture into his work. Heleluhe's art aimed to preserve and promote Hawaiian identity and heritage, making him a significant figure in the cultural movement of Hawaiian renaissance during the early 20th century.",1
"Guam sent a four-member delegation to the 1988 Winter Olympics in Calgary, Alberta, Canada from 13 to 28 February 1988. This is, as of 2022, Guam's only appearance in the Winter Olympic Games. The Guam delegation included only one athlete biathlete, Judd Bankert, who became Guam's first Olympic athlete. In his only event, the sprint, Bankert finished in 71st out of 72 competitors.",0
"The 51st Boat Race took place on 17 March 1894. The Boat Race is an annual side-by-side rowing race between crews from the Universities of Oxford and Cambridge along the River Thames. Oxford went into the race leading by 27–22 in the event, and of the eighteen participants, half had previous Boat Race experience. Umpired by former rower Frank Willan, Oxford won the race by 3+1⁄2 lengths in a time of 21 minutes 39 seconds, for their fifth consecutive victory in the event. It was the largest margin of victory since the 1883 race.",0
"In the Agents of S.H.I.E.L.D. episode ""0-8-4,"" the team is sent to investigate a weapon of mass destruction in Peru. They discover an ancient artifact from an alien race, attracting both Hydra and rebel forces. Coulson and his team successfully retrieve the artifact while dealing with internal conflicts, reflecting on their pasts, and deepening their bonds as a team.",1
"""Hurricane Neddy"" is the eighth episode of the eighth season of the American animated television series The Simpsons. It originally aired on the Fox network in the United States on December 29, 1996 It was written by Steve Young, directed by Bob Anderson, and features a cameo by Jon Lovitz as Jay Sherman from The Critic. In the episode, a violent hurricane strikes Springfield. By pure chance, the only house destroyed belongs to Ned Flanders. As a result, Ned begins to lose his faith in God and the townspeople around him, leading to a nervous breakdown.",0
"Monaco, a tiny principality known for its luxurious lifestyle, participated in the 2010 Winter Olympics held in Vancouver, Canada. Their lone representative, skier Patrice Servelle, competed in the alpine skiing events. Although Servelle did not win any medals, his participation marked the first time Monaco had been represented in the Winter Olympics since 1994. Despite their limited winter sports tradition and available resources, Monaco demonstrated its commitment to international athletic competition.",1
"The 110th Boat Race took place on 28 March 1964. Held annually, the event is a side-by-side rowing race between crews from the Universities of Oxford and Cambridge along the River Thames. The Oxford crew was the heaviest in Boat Race history. The race was won by Cambridge by six-and-half lengths. Cambridge won the Women's Boat Race.",0
"Pennsylvania Route 284 is a state highway located in Northumberland County, Pennsylvania. Spanning approximately 6 miles, it connects the communities of Turbotville and McEwensville. The road passes through scenic rural areas, surrounded by picturesque farmland and rolling hills. It provides a crucial transportation link for residents, facilitating access to nearby towns and essential services. Pennsylvania Route 284 also serves as a popular route for tourists, offering a peaceful drive with beautiful countryside views. Despite its modest length, this state highway plays a significant role in connecting communities and contributing to the local economy.",1
"Plegmund was an English scholar and archbishop, known for his contributions to education and religious reforms during the late 9th century. He served as the 19th Archbishop of Canterbury, promoting the establishment of schools and libraries, and played a pivotal role in the revival of learning in England. His efforts had a lasting impact on education and religious practices in medieval England.",1
"Andorra participated in the 2002 Winter Olympics held in Salt Lake City, Utah. The Andorran delegation comprised five athletes who competed in alpine skiing events. The team achieved a notable accomplishment as Mireia Gutierrez grabbed the ninth position in the women's giant slalom event. The Andorran athletes showcased their skills and represented their country with pride during the games.",1
"Real Chemistry, formerly known as W2O Group, is a global health innovation company based in San Francisco, California. It was founded by Jim Weiss in 2001 and originally named WeissComm Partners.",0
"Valencia is a constituency in the Congress of Deputies in Spain. It is located in the eastern coastal region of the country and is represented by 32 deputies in the national parliament. Valencia is known for its rich cultural heritage and vibrant economy, with key sectors including tourism, agriculture, and manufacturing. The constituency plays a crucial role in shaping national policies and legislation through its representatives in the Congress of Deputies.",1
"Mississippi Highway 496 is a 24-mile state highway located in northeastern Mississippi, connecting the towns of Beulah and Philadelphia. It primarily serves as a rural route, passing through various communities and characterized by picturesque landscapes. The route is known for its relatively low traffic volume, offering a peaceful and scenic driving experience. Mississippi Highway 496 is an important link for local residents, providing access to nearby highways and connecting them to essential services, such as schools, healthcare facilities, and shopping centers.",1
"Joanna Beth Harvelle is a fictional character on The CW Television Network's drama/horror television series Supernatural portrayed by Alona Tal. Aspiring to be a hunter of supernatural creatures like her parents, she was introduced in the second season in order to explore a mother-daughter relationship in the hunting world. She was ultimately removed from the series by the end of the second season—Kripke admitted the conception of the character was flawed from the beginning—but returned in the fifth and seventh seasons.",0
"The Problem Solvers Caucus is a bipartisan group in the United States House of Representatives that includes members equally divided between Democrats and Republicans, who seek to foster bipartisan cooperation on key policy issues. The group was created in January 2017 as an outgrowth of meetings held by political organization No Labels starting in 2014. It is currently co-chaired by Josh Gottheimer .",0
"Severe Tropical Cyclone Vaianu was the fourth named tropical cyclone of the 2005–06 South Pacific cyclone season. The system formed on February 11, and moved generally towards the south throughout its life. Vaianu ultimately peaked with winds corresponding to Category 1 status on the Saffir-Simpson Hurricane Scale, and passed between Fiji and Tonga. Moving into cooler waters, the storm dissipated on February 16. Although the cyclone avoided land for the most part, it caused heavy rainfall and gusty winds in portions of Tonga. Flooding hit the capital city of Nuku'alofa, and on some islands, the storm destroyed crops.",0
"Gaussberg is a unique and mysterious town nestled deep in the mountains. The town is famous for its strong sense of community, where residents work together and uphold traditional values. It is believed that Gaussberg possesses a special energy that has attracted artists and musicians from all over the world. The town boasts beautiful landscapes, including breathtaking waterfalls and lush forests, making it a haven for outdoor enthusiasts. Despite its secluded location, Gaussberg remains a hidden gem, offering a peaceful and inspiring environment for its residents and visitors alike.",1
"Luxembourg competed at the 1988 Winter Olympics in Calgary, Alberta, Canada from 13–28 February 1988. It had been 52 years since the last time the nation had participated in the Winter Olympic Games, and Calgary was only their third appearance at a Winter Olympics in history. The Luxembourgian delegation consisted of a single alpine skier, the Austrian-born Marc Girardelli. His best performance was 9th in the downhill race, and Luxembourg did not win any medals at these Olympics.",0
"Taurean Allen is a well-known American actor and filmmaker. With a career spanning over a decade, he has appeared in numerous popular television shows and films, showcasing his versatility and acting talent. Allen is known for his dedication to his craft and his ability to bring depth and complexity to his characters. Additionally, he has ventured into directing, producing, and writing, further establishing himself as a multifaceted artist. Through his work, Allen continues to captivate audiences and leave a lasting impact in the entertainment industry.",1
"Nina de Creeft Ward is an American artist who works with bronze, soft sculptures, etchings, woodcuts, and monoprints. She had multiple art exhibitions in the Philippines and the United States. Ward was the co-winner of the Individual Artists Award for Works in Clay in 2006 from the Santa Barbara Arts Fund. Most of Ward's work has to do with animals, including a 1998 exhibition of art that resembled endangered and extinct species. She has taught students such as at the University of Northern Iowa. Her clay animal models are made with raku ware.",0
"Goodison Park is a football stadium located in Liverpool, England. It has been the home of Everton Football Club since its opening in 1892, and is one of the oldest football grounds in England. The stadium has a seating capacity of over 39,000 and is known for its traditional architecture and intimate atmosphere. Goodison Park has hosted numerous high-profile matches, including FA Cup semifinals and England international games. It holds a special place in the hearts of Everton fans and is considered one of the iconic venues in English football.",1
"The 38th Boat Race, an annual side-by-side rowing race between crews from the Universities of Oxford and Cambridge along the River Thames, took place on 8 April 1881. In a race umpired by Robert Lewis-Lloyd, Oxford won by a margin of three lengths in a time of 21 minutes 51 seconds taking the overall record to 20–17 in their favour.",0
"Germanus was a prominent figure during the reign of Emperor Justinian I in the 6th century Byzantine Empire. He was a cousin of Justinian, being related through the maternal line. Germanus distinguished himself as a military general, primarily serving in the wars against the Persians and Goths. Known for his bravery and strategic skills, he played a vital role in securing victories for the Byzantine Empire. Germanus was also an influential figure in the Church, serving as a bishop and playing a significant role in the theological debates of his time. Overall, Germanus was a powerful and respected figure in both military and religious spheres during the reign of Justinian I.",1
"Ghost Alley Espresso is a well-loved coffee shop located in Seattle's historic Pike Place Market. Known for its friendly atmosphere and quality coffee, it offers a unique experience for caffeine enthusiasts. The shop's name is inspired by the alley it is situated on, which is rumored to be haunted. With an array of drink options and freshly roasted beans, Ghost Alley Espresso has gained a loyal following and is a must-visit for anyone in search of great coffee in the heart of Seattle.",1
"Mississippi Highway 500 is an important connecting road in the state of Mississippi, running through several counties. It serves as a major transportation route for local communities, providing access to schools, businesses, and residential areas. The highway is well-maintained and offers a smooth and safe driving experience. It plays a vital role in promoting economic development and ensuring efficient travel within the region.",1
"M-73 is a north–south state trunkline highway in the Upper Peninsula of the US state of Michigan. It connects with US Highway 2 at the state line near Iron River. Running through forest, the highway was first designated along with the rest of the state highway system in 1919. Unchanged since its inception, M-73 was completely paved by the mid-1930s.",0
"The 1623 Papal Conclave was held after the death of Pope Gregory XV. It resulted in the election of Cardinal Maffeo Barberini, who took the name Pope Urban VIII. This conclave was notable for its brevity and for establishing a reforming mandate for the papacy.",1
"Rancho Bravo Tacos is a small chain of Mexican restaurants in Seattle, in the U.S. state of Washington. Owner Freddy Rivas started the business as a food truck in Kent in 2002, before relocating to Wallingford in 2007. The business also has a restaurant in Capitol Hill and previously operated in the University District. Serving cuisine such as tacos, nachos, burritos, tamales, and tortas, the business has garnered a generally positive reception as an inexpensive and late night option for diners, with the tacos and burritos receiving the most praise.",0
"Malta sent a delegation to compete at the 2012 Summer Paralympics in London, United Kingdom, from 29 August to 9 September 2012. This was the country's eighth appearance in a Summer Paralympic Games. The Maltese delegation consisted of a single short-distance swimmer: Matthew Sultana. In his three events, the men's 50 metres freestyle S10, the men's 100 metre butterfly S10 and the men's 100 metre breaststroke SB9, he failed to qualify beyond the first round.",0
"Type Ib and Type Ic supernovae are categories of supernovae that are caused by the stellar core collapse of massive stars. These stars have shed or been stripped of their outer envelope of hydrogen, and, when compared to the spectrum of Type Ia supernovae, they lack the absorption line of silicon. Compared to Type Ib, Type Ic supernovae are hypothesized to have lost more of their initial envelope, including most of their helium. The two types are usually referred to as stripped core-collapse supernovae.",0
"Virgin Atlantic Little Red was a short-lived British airline subsidiary owned by Virgin Atlantic.It was created in 2012 as a way to provide competition for aviation giant British Airways on UK domestic mainland flights to Aberdeen, Edinburgh, and Manchester from London Heathrow Airport. During its operation, the airline operated four Airbus A320s wet leased from Irish airline Aer Lingus and served a network of four domestic destinations. The airline ceased operations in 2015 following low passenger numbers.",0
"In the 2008 Summer Olympics held in Beijing, Kiribati, a small island nation in the Pacific, was represented by two athletes. The country participated in the event for the fourth time since its debut in 2004. David Katoatau competed in the men's 94 kg weightlifting category, while Kataina Raturua participated in the women's 58 kg weightlifting category. Although they did not win any medals, their participation represented Kiribati's commitment to Olympic sports.",1
"The Boat Race of 1878 saw Oxford and Cambridge compete on the River Thames in London. Oxford won the toss and chose the Surrey station, while Cambridge rowed on the Middlesex side. The Cambridge crew took an early lead, but Oxford quickly caught up and pulled ahead. In a thrilling race, Oxford emerged victorious by five lengths, completing the course in 20 minutes and 15 seconds. This win marked Oxford's fifth consecutive victory in the historic competition, solidifying their dominance in the Boat Race.",1
"The White House to Treasury Building tunnel is a secret underground tunnel connecting the White House in Washington, D.C. to the Treasury Building. The tunnel was built during World War II as a security measure that would allow the President to be safely transferred in case of an emergency. It is approximately 761 feet long and remains a hidden passage that is not accessible to the public.",1
"Martha Wise was an American poisoner and serial killer. After her husband died and her family forced her to end a relationship with a new lover, Wise retaliated by poisoning seventeen family members, of whom three died, in 1924. She was convicted of one of the murders, despite defense claims that she was mentally ill and that her lover had ordered her to poison her family. The case is considered one of the most sensational of the era in Ohio, where it occurred.",0
"The United States Virgin Islands sent a delegation to compete at the 2006 Winter Olympics in Turin, Italy from 10 to 26 February 2006. The only competitor sent by the USVI was Anne Abernathy, who broke her wrist in a practice run and was therefore unable to compete.",0
"Grrrrrrrrrrr!! is a 1965 oil and Magna on canvas painting by Roy Lichtenstein. Measuring 68 in × 56.125 in , it was bequeathed to the Solomon R. Guggenheim Museum collection from Lichtenstein's estate. It depicts a head-on representation of an angry dog growling with the onomatopoeic expression ""Grrrrrrrrrrr!!"". The work was derived from Our Fighting Forces, which also served as the source for other military dog paintwork by Lichtenstein.",0
"The 59th Boat Race took place on 22 March 1902. Held annually, the Boat Race is a side-by-side rowing race between crews from the Universities of Oxford and Cambridge along the River Thames. Although Oxford used swivel rowlocks for the first time in the history of the race, Cambridge won by five lengths in a time of 19 minutes 9 seconds. The victory took the overall record to 33–25 in Oxford's favour.",0
"Donte Ingram is a professional basketball player from the United States. He was born on August 1, 1995, and played college basketball for the Loyola Ramblers. Ingram was a key player in Loyola's historic run to the Final Four in 2018. Standing at 6 feet 6 inches tall, he primarily plays as a forward and has showcased his scoring and defensive abilities throughout his career. Ingram currently plays for various teams in international leagues.",1
"Obligation to Negotiate Access to the Pacific Ocean was a case at the International Court of Justice. In the case, Bolivia petitioned the Court for a writ of mandamus obligating Chile to negotiate with Bolivia to restore Bolivia's access to the Pacific Ocean, which it had lost to Chile in 1879 during the War of the Pacific. In 2018, the court rejected Bolivia's arguments, finding that Chile was under no such obligation.",0
"The 1884 Navy Midshipmen football team was the third football team to represent the United States Naval Academy. The team was led by head coach E.B. Blake, who introduced new tactics and strategies to the game. Despite their limited resources and lack of experience, the team managed to achieve a respectable 6-3 record. Their offense showcased an impressive passing game, which was uncommon for that time. The standout moment of the season came when they defeated Wesleyan University with a score of 6-4 in a thrilling contest. This successful season established Navy Midshipmen as a competitive force in college football.",1
"HMT Royal Edward was a British passenger ship commissioned during World War I. On August 13, 1915, the ship was sunk by a German U-boat in the Aegean Sea, resulting in the deaths of over 1,000 people, including soldiers, crew members, and civilians.",1
"Andrew Schneider was an acclaimed journalist known for his investigative reporting on health and environmental issues. He mainly focused on topics such as asbestos exposure, tobacco industry deception, and environmental pollution. Schneider's work garnered him numerous awards, including two Pulitzer Prizes. He collaborated with various media outlets throughout his career, including The Seattle Times and The St. Louis Post-Dispatch. His commitment to fighting for public health and exposing corporate misconduct made him a respected figure in journalism. Sadly, Schneider passed away in 2011, leaving a significant impact on the field.",1
